epoch,L_total,L_rec,L_cycle,L_distill,L_cov,L_reg,L_preserve,delta_signal,probe_acc_zs,probe_acc_zs_prime,silhouette_zs,silhouette_zs_prime
1,42.46472798665365,0.8651181131998698,5.546162272135416,1.0221063038508098,0.0022696805068602166,0.026055568998058637,12.84631815846761,12.846317,0.9296666666666666,0.6506666666666666,0.21904464,0.057195414
2,42.446834116617836,0.864855464776357,5.543346496582031,1.0197191370328267,0.0022353783808648584,0.026041453157862028,12.845154192606609,12.845155,0.9296666666666666,0.6513333333333333,0.21904464,0.05773629
3,42.30031240844727,0.8646110974947612,5.5204491055806475,1.0135921392440796,0.002272647184630235,0.026364293307065963,12.819486368815104,12.819487,0.9296666666666666,0.6558333333333334,0.21904464,0.057599105
4,42.14903913370768,0.864306888739268,5.497201328277588,1.0037461120287576,0.00233049950748682,0.026485430762171747,12.794598129272462,12.794599,0.9296666666666666,0.6595,0.21904464,0.05970458
5,41.99340380859375,0.8640334404309591,5.472682969411214,0.9989277884165446,0.0023671056218445303,0.026764885798096657,12.766641634623209,12.766642,0.9296666666666666,0.66,0.21904464,0.06009664
6,41.873178243001306,0.8637529846827189,5.454315532684326,0.9919277895291646,0.0024183520612617334,0.027135945623119672,12.745527483622233,12.745527,0.9296666666666666,0.6601666666666667,0.21904464,0.061017457
7,41.76431399536133,0.8634998184839885,5.437238379160563,0.9880866872469584,0.002442018894478679,0.027291493212183316,12.726140795389812,12.726141,0.9296666666666666,0.6616666666666666,0.21904464,0.060689207
8,41.688025736490886,0.8632606816291809,5.425410634358724,0.984377474784851,0.0024698970342675844,0.02754491644104322,12.712935590108236,12.7129345,0.9296666666666666,0.6596666666666666,0.21904464,0.061735045
9,41.65661071777344,0.8630504061381022,5.420250142415364,0.9845186950365702,0.002495934883132577,0.027718651339411735,12.707388877868652,12.707389,0.9296666666666666,0.662,0.21904464,0.0600582
10,41.579069966634115,0.8628216252326966,5.408610858917236,0.9794958337148031,0.002548930183053017,0.028014764671524365,12.693290654500325,12.693292,0.9296666666666666,0.6648333333333334,0.21904464,0.06095219
